approve_estimate,disapprove_estimate,date
43.454207,53.10503,2022-11-06
43.349585,53.248426,2022-11-05
43.349585,53.248426,2022-11-04
43.466118,53.544082,2022-11-03
43.271736,53.535705,2022-11-02
43.344179,54.01232,2022-11-01
43.370971,53.949236,2022-10-31
43.551862,53.498851,2022-10-30
43.547996,52.997304,2022-10-29
43.547996,52.997304,2022-10-28
43.73135,53.074687,2022-10-27
43.556652,53.279963,2022-10-26
43.0013,53.388654,2022-10-25
42.896831,53.031993,2022-10-24
42.841555,53.174192,2022-10-23
42.816656,53.190098,2022-10-22
42.816656,53.190098,2022-10-21
43.819196,52.885435,2022-10-20
43.939221,53.000838,2022-10-19
43.908552,53.079815,2022-10-18
43.694658,53.251684,2022-10-17
44.047539,52.830377,2022-10-16
43.549403,52.729482,2022-10-15
43.891372,52.582604,2022-10-14
44.737453,51.851467,2022-10-13
44.588156,51.944647,2022-10-12
44.132305,52.055559,2022-10-11
44.344103,51.827732,2022-10-10
44.473029,51.713996,2022-10-09
44.473029,51.713996,2022-10-08
44.425263,51.542824,2022-10-07
44.445918,51.510054,2022-10-06
43.995716,51.882387,2022-10-05
43.899733,52.202645,2022-10-04
43.387255,52.043256,2022-10-03
43.647421,51.875463,2022-10-02
43.647421,51.875463,2022-10-01
43.647421,51.875463,2022-09-30
43.450293,52.210222,2022-09-29
43.454196,52.204256,2022-09-28
43.572896,53.00244,2022-09-27
43.554737,52.932735,2022-09-26
43.614934,52.899367,2022-09-25
43.748697,52.35163,2022-09-24
44.058381,51.99597,2022-09-23
43.512695,52.517181,2022-09-22
43.260302,52.572246,2022-09-21
42.946567,52.762903,2022-09-20
42.733154,52.513542,2022-09-19
42.601739,52.655288,2022-09-18
42.437754,52.754689,2022-09-17
42.437754,52.754689,2022-09-16
43.053112,52.822266,2022-09-15
42.928685,52.862665,2022-09-14
43.337244,52.510443,2022-09-13
42.981314,52.633549,2022-09-12
43.976501,52.220075,2022-09-11
43.976501,52.220075,2022-09-10
43.976501,52.220075,2022-09-09
43.854672,52.361307,2022-09-08
43.854676,52.368665,2022-09-07
43.953771,52.500207,2022-09-06
43.658442,52.421828,2022-09-05
43.574529,52.51229,2022-09-04
43.574529,52.51229,2022-09-03
43.574529,52.51229,2022-09-02
43.576902,52.679076,2022-09-01
43.472098,52.75893,2022-08-31
43.205876,53.247618,2022-08-30
43.237725,53.170372,2022-08-29
43.089457,53.374945,2022-08-28
42.743069,53.103327,2022-08-27
42.743069,53.103327,2022-08-26
42.375686,53.625142,2022-08-25
42.274187,53.801759,2022-08-24
42.004929,53.741748,2022-08-23
41.885629,53.833757,2022-08-22
42.122653,53.658096,2022-08-21
41.957593,53.764654,2022-08-20
41.957593,53.764654,2022-08-19
41.839803,54.418951,2022-08-18
41.741747,54.606604,2022-08-17
41.261335,54.972214,2022-08-16
41.266686,54.982799,2022-08-15
41.176808,55.185175,2022-08-14
41.176808,55.185175,2022-08-13
41.176808,55.185175,2022-08-12
41.040516,55.405461,2022-08-11
40.77351,55.278725,2022-08-10
40.609082,55.279863,2022-08-09
40.398575,55.293388,2022-08-08
40.058109,55.539365,2022-08-07
40.058109,55.539365,2022-08-06
40.058109,55.539365,2022-08-05
39.995835,55.619549,2022-08-04
39.790758,55.791734,2022-08-03
39.834705,55.453159,2022-08-02
40.670914,55.378173,2022-08-01
40.416393,55.522437,2022-07-31
40.160859,54.981304,2022-07-30
40.160859,54.981304,2022-07-29
40.041523,55.08655,2022-07-28
39.332475,55.808606,2022-07-27
38.734513,56.277147,2022-07-26
38.396426,56.699935,2022-07-25
38.572676,56.573576,2022-07-24
38.572676,56.573576,2022-07-23
38.572676,56.573576,2022-07-22
38.220815,56.930334,2022-07-21
38.728936,56.350257,2022-07-20
39.118341,55.751935,2022-07-19
39.31849,55.540445,2022-07-18
39.190792,55.660286,2022-07-17
39.25823,55.284331,2022-07-16
39.25823,55.284331,2022-07-15
39.771963,55.7798,2022-07-14
39.531663,55.982876,2022-07-13
38.960413,56.280458,2022-07-12
38.877299,56.176566,2022-07-11
39.565847,55.750771,2022-07-10
